,Focal depths wrt exit plane (mm),,,,,,,,,,
Distance WRT Exit plane (mm),11.41,15,20,23.91,25,30,45,60,75,90,92.51
56.5,0.304088892,0.522986642,0.104980437,0.520452945,0.57558864,0.192926925,7.735307694,18.86312757,17.7757185,12.19170086,11.25543649
57,0.285138621,0.53905456,0.089900758,0.501991774,0.565967314,0.216167493,7.345219302,18.70319691,18.09894302,12.71580882,11.78502954
57.5,0.267396422,0.554536866,0.076476893,0.48266327,0.554598975,0.238557068,6.970011094,18.5221449,18.38955558,13.22154239,12.29968759
58,0.250612202,0.569036746,0.064638045,0.46264611,0.541680579,0.259891063,6.608364739,18.31223408,18.63214383,13.69069641,12.781633
58.5,0.234319763,0.58181152,0.054347968,0.442264195,0.527607094,0.280334256,6.259100126,18.07176317,18.82136338,14.11449979,13.2219921
59,0.217914754,0.591900835,0.045584388,0.42191363,0.512881048,0.300293911,5.921601408,17.80631718,18.96442326,14.49718979,13.62438527
59.5,0.200787085,0.598306457,0.038311463,0.401938118,0.497953496,0.320213885,5.59562425,17.5263212,19.07797518,14.85406801,14.00320093
60,0.182490939,0.600199156,0.032459576,0.382521343,0.483079535,0.340360261,5.280904581,17.24259687,19.18127307,15.2051713,14.37758257
60.5,0.162917256,0.597132696,0.027920639,0.363658195,0.468268549,0.360678989,4.977054891,16.96251741,19.28910034,15.56764448,14.76408644
61,0.142404518,0.589220509,0.024558115,0.345217661,0.453351269,0.380781618,4.683837322,16.6884077,19.40735977,15.94988797,15.17092531
61.5,0.121719064,0.577200761,0.022224956,0.327056305,0.438115992,0.400059404,4.401487008,16.4180753,19.5321552,16.34903104,15.5953989
62,0.101883109,0.562328887,0.020781546,0.309113467,0.422431479,0.417869904,4.130661339,16.14618598,19.651488,16.7517206,16.02449009
62.5,0.083908166,0.546114107,0.020109129,0.291444264,0.406304633,0.433719761,3.871976,15.86565391,19.74853101,17.13756777,16.4381728
63,0.068546199,0.530007357,0.02011827,0.274196669,0.38987638,0.447393358,3.625549667,15.56939124,19.80632168,17.48493513,16.81503893
63.5,0.056156918,0.515171361,0.020754222,0.257566841,0.373391534,0.45901132,3.391006271,15.25304926,19.81375155,17.77833915,17.13962104
64,0.046717403,0.502388418,0.022000121,0.241753757,0.357156627,0.469008828,3.167905772,14.9179627,19.77107989,18.01522495,17.40911009
64.5,0.039928973,0.492059953,0.023875992,0.226905361,0.341467742,0.478010575,2.956116254,14.57195863,19.69142986,18.20816975,17.63567317
65,0.035350811,0.48422381,0.026429874,0.213053195,0.326500954,0.486602469,2.755725861,14.22650953,19.5959312,18.38007556,17.84178011
65.5,0.032509116,0.478567305,0.029719061,0.200062291,0.312211671,0.495073291,2.566620101,13.89151052,19.50451592,18.55418233,18.05039669
66,0.030965925,0.474481804,0.033784041,0.187642371,0.298318011,0.503265748,2.388235261,13.57119712,19.42787917,18.74458822,18.27557706
66.5,0.030356941,0.47118942,0.038621074,0.175436905,0.284403963,0.510636512,2.219764439,13.26376531,19.36514497,18.95228074,18.51843011
67,0.030412399,0.467890385,0.044158885,0.16315209,0.270092266,0.516490657,2.06055844,12.96389506,19.30691793,19.16715088,18.76896906
67.5,0.03096543,0.463836559,0.050242431,0.150656555,0.255188696,0.520243864,1.91026766,12.6653858,19.23983348,19.37257537,19.01057101
68,0.031944071,0.458303986,0.056628478,0.138007535,0.239731556,0.521585207,1.768598115,12.36225953,19.14981978,19.54976498,19.22423812
68.5,0.033345734,0.450556548,0.063003919,0.125414403,0.22396058,0.520530389,1.635025054,12.04937578,19.02490651,19.68223055,19.39313503
69,0.035200138,0.439922168,0.069036563,0.113177947,0.208254619,0.517428911,1.508840008,11.72420923,18.85950269,19.76175767,19.50870651
69.5,0.037528341,0.425990125,0.074450099,0.101628178,0.193062338,0.512935555,1.389479891,11.38926926,18.65890884,19.79401974,19.57642043
70,0.040301543,0.408799298,0.079091568,0.091058355,0.178813392,0.507884544,1.276756968,11.05252129,18.43958231,19.79885653,19.61610619
70.5,0.043402347,0.388881078,0.082957498,0.081658617,0.1658127,0.503042492,1.170738348,10.72419942,18.22267872,19.80253954,19.65416753
71,0.046600422,0.367147781,0.086172001,0.07347358,0.154161891,0.498845425,1.071438355,10.41190888,18.02428999,19.82587041,19.71155256
71.5,0.049564888,0.344725382,0.088940121,0.066408278,0.143757862,0.495287519,0.978662532,10.11763394,17.84898465,19.87575141,19.79526416
72,0.051929688,0.322810334,0.09150217,0.060278685,0.134371288,0.49203059,0.892110998,9.838378673,17.6903353,19.94477578,19.89792295
72.5,0.053399496,0.302537131,0.094095006,0.054877511,0.12575306,0.488638531,0.811542616,9.568922143,17.53603262,20.01667498,20.00325264
73,0.053853479,0.284822515,0.096914556,0.05002575,0.117709292,0.484770677,0.73678427,9.304034988,17.37281901,20.07251774,20.09225421
73.5,0.053401017,0.270214732,0.100084602,0.04559909,0.110124602,0.480254823,0.667600721,9.039332011,17.18934669,20.09522803,20.14768125
74,0.052370898,0.258821333,0.103648978,0.041534293,0.102952944,0.475090245,0.603614163,8.771942729,16.97866693,20.07387602,20.1583669
74.5,0.051246495,0.250352668,0.107597256,0.037822458,0.096199303,0.469446758,0.544378022,8.501866452,16.74156971,20.00861139,20.12426416
75,0.050573593,0.244239516,0.111907182,0.034490273,0.089894292,0.463635723,0.489513318,8.232895432,16.48843168,19.91312971,20.05905396
75.5,0.050867778,0.23975376,0.116570479,0.031570434,0.08405516,0.457985987,0.438758685,7.971422329,16.23614865,19.81052763,19.98596995
76,0.052543461,0.236098313,0.121582106,0.029070515,0.078643786,0.452642444,0.391906731,7.72319397,16.00047101,19.72304299,19.9273938
76.5,0.055874478,0.232485014,0.126906396,0.026954851,0.073548232,0.447418176,0.348731264,7.490295261,15.7886254,19.66196533,19.89462713
77,0.060982571,0.228223593,0.132449611,0.025147694,0.068605866,0.44182575,0.308992044,7.270513619,15.59710462,19.62402006,19.88426615
77.5,0.067843998,0.222805371,0.138051717,0.023553378,0.063658329,0.435273034,0.272490992,7.059014345,15.41491413,19.5950412,19.88195277
78,0.076307654,0.215932794,0.143487606,0.022081831,0.058607921,0.427291969,0.239094484,6.850545602,15.22872714,19.55661366,19.86911
78.5,0.086121728,0.207476589,0.148470741,0.020669335,0.053448945,0.417678922,0.208693705,6.640802507,15.02680077,19.49172285,19.82857309
79,0.096969009,0.197403384,0.15267552,0.019290698,0.048267117,0.406530554,0.181153432,6.427137456,14.80159617,19.38903508,19.74888614
79.5,0.108507958,0.185738385,0.155797374,0.017962412,0.043215021,0.394219317,0.156302721,6.209311355,14.55223099,19.24688365,19.62839487
80,0.120405133,0.172584602,0.157637558,0.016736252,0.038472807,0.381321659,0.133962967,5.990039947,14.28599917,19.07562054,19.47776673
80.5,0.132334773,0.158165647,0.158166719,0.015683657,0.034201945,0.368473424,0.113972807,5.774317594,14.01651871,18.89502007,19.31743682
81,0.143936499,0.142850607,0.157529705,0.014875314,0.030504374,0.356170958,0.096188434,5.567266445,13.75804365,18.7261044,19.16921959
81.5,0.154761406,0.127147136,0.155999214,0.014363472,0.027402102,0.344614049,0.080473777,5.371765954,13.51898514,18.5817361,19.04656798
82,0.164262987,0.111666129,0.153915829,0.014172679,0.024844013,0.333689899,0.066700025,5.187469233,13.29886142,18.46187274,18.94954458
82.5,0.171866075,0.097055892,0.151639258,0.014299108,0.022732854,0.323105169,0.05475403,5.011600999,13.08999231,18.35551123,18.86674179
83,0.177092449,0.083905296,0.14950558,0.014714967,0.020958083,0.312571965,0.044540752,4.840557117,12.88170198,18.24642526,18.78118191
83.5,0.179684176,0.072639725,0.147781677,0.015374789,0.019423576,0.301940191,0.035972568,4.671172412,12.66412859,18.11879393,18.6761562
84,0.179677959,0.063454445,0.146631071,0.016223505,0.018065568,0.291241215,0.028953748,4.501430205,12.43082815,17.96145242,18.53968123
84.5,0.177415415,0.056313327,0.14611371,0.017207946,0.016860002,0.280669786,0.023371806,4.330990243,12.18080552,17.77149112,18.36833091
85,0.17348742,0.051002078,0.146222159,0.01829094,0.01581919,0.270531657,0.019098817,4.161575697,11.91983479,17.55669394,18.16987057
85.5,0.168611157,0.047202292,0.146926483,0.019462306,0.014978899,0.261153383,0.015998399,3.996649173,11.65945713,17.3342684,17.96203572
86,0.163461929,0.044558757,0.148195815,0.02074,0.01437986,0.252759718,0.013934913,3.840061739,11.41276611,17.1245237,17.7659837
86.5,0.15852008,0.042731359,0.149991077,0.022159763,0.014050248,0.245366194,0.012784538,3.69427999,11.18881567,16.94221406,17.59727882
87,0.154000161,0.041434114,0.152246597,0.023757961,0.013994289,0.238749168,0.012446162,3.559327517,10.9889875,16.79067079,17.45971248
87.5,0.149888451,0.040461574,0.154860476,0.025554192,0.014188145,0.232514601,0.012846847,3.433019887,10.80720645,16.66170565,17.34510453
88,0.146058985,0.039696531,0.157693812,0.027538106,0.014581555,0.226226674,0.013937819,3.312093064,10.63308301,16.54004665,17.23787511
88.5,0.14241113,0.039094042,0.160570304,0.029662806,0.015103958,0.219533481,0.015682321,3.193405236,10.45573215,16.40904855,17.12089408
89,0.138980539,0.038647183,0.163279309,0.031847776,0.015675586,0.212250246,0.018041704,3.074776205,10.26689904,16.25555661,16.98051987
89.5,0.135998621,0.038349848,0.165597153,0.033994334,0.01622405,0.204395121,0.020967265,2.955495265,10.06321938,16.07372906,16.81056852
90,0.133890115,0.038171056,0.167329571,0.03601214,0.016703207,0.196177277,0.024401222,2.83654299,9.847490075,15.86744004,16.61489021
90.5,0.133206343,0.038045635,0.168353818,0.037846321,0.017106476,0.18792776,0.028282946,2.720305892,9.627996537,15.6495793,16.40672352
91,0.134505323,0.037877814,0.16863069,0.039490689,0.017466509,0.179978114,0.03255285,2.609639854,9.415366771,15.43720889,16.20369337
91.5,0.13821074,0.037554255,0.168178466,0.040979446,0.017839692,0.172532831,0.037150325,2.506615546,9.21805072,15.24425461,16.02018695
92,0.144486547,0.036965461,0.167029403,0.042362192,0.018281698,0.165600251,0.042009787,2.411631521,9.038838139,15.07567781,15.8612787
92.5,0.153155398,0.036031882,0.165195512,0.043673616,0.018823163,0.159016321,0.047061244,2.323342685,8.874186296,14.92612611,15.72133646
93,0.163674543,0.034724538,0.162652406,0.044907208,0.019452549,0.152542253,0.052236228,2.239306163,8.716188975,14.78293778,15.58715712
93.5,0.175177758,0.03306975,0.159336829,0.046000144,0.020110641,0.145982581,0.057473264,2.156906541,8.55572939,14.63117562,15.44320756
94,0.186587082,0.031135976,0.15515819,0.046837532,0.020700064,0.139273501,0.062718514,2.074178086,8.385491,14.45858481,15.27676113
94.5,0.196786319,0.029010164,0.150034926,0.047282454,0.021111285,0.132515634,0.06792434,1.990378934,8.202303603,14.25952458,15.08199746
95,0.204823053,0.026774156,0.143957133,0.047226771,0.021260177,0.125947937,0.07305332,1.906230442,8.008416018,14.03731042,14.86245109
95.5,0.21007594,0.024488634,0.137050599,0.046643611,0.021123344,0.119874206,0.078089734,1.823685244,7.811044754,13.80372953,14.63054729
96,0.212322315,0.022187916,0.129603477,0.04561691,0.020754442,0.114566255,0.083052083,1.745183742,7.619843734,13.57505258,14.4033938
96.5,0.211688102,0.019886435,0.122036745,0.044333995,0.020273676,0.110177595,0.087997273,1.672655469,7.443138376,13.36577239,14.19616365
97,0.208527826,0.017594615,0.114833305,0.04304597,0.019837224,0.106698614,0.093014085,1.606739745,7.284738777,13.18311249,14.01632875
97.5,0.203309394,0.015338129,0.10845546,0.042014434,0.019601971,0.10396427,0.098209417,1.546585153,7.142826341,13.02490911,13.86148646
98,0.196547313,0.01317109,0.10327431,0.041463587,0.019698193,0.101703229,0.103692016,1.49023811,7.011147243,12.8813537,13.72127037
