,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
48,0.02768531,0.339190995,0.124250919,0.038071324,0.39313989,0.524021792,0.186285125,0.521245388,14.76158862,16.10855362,8.664295953,3.133999243,1.837133436
48.5,0.031458285,0.320914211,0.134018686,0.034105084,0.363903639,0.501384751,0.21824722,0.418978944,14.35595151,16.40191729,9.217134145,3.548377213,2.162724216
49,0.037152381,0.303342032,0.143532716,0.031778516,0.335923739,0.478514656,0.24890831,0.329962261,13.94751774,16.67335506,9.771990622,3.983727234,2.514862829
49.5,0.044714026,0.286792296,0.152682211,0.030877651,0.309383194,0.455710636,0.277842794,0.253420478,13.53600926,16.91931655,10.32409621,4.437353285,2.890284578
50,0.054122931,0.271521967,0.161454233,0.031252538,0.284441678,0.43326089,0.304979165,0.188913391,13.12286354,17.13731571,10.8681537,4.905497894,3.285191332
50.5,0.065429443,0.257665669,0.169895476,0.032804993,0.26117992,0.411374307,0.330436231,0.136109539,12.70977773,17.32498788,11.39812592,5.383148871,3.695043756
51,0.078779253,0.245141107,0.178036537,0.035463717,0.239523657,0.390065452,0.354329227,0.094522532,12.29595544,17.47754195,11.90641125,5.863987544,4.114523045
51.5,0.09440679,0.233624358,0.185838577,0.039158855,0.219246622,0.369145066,0.376670789,0.063326268,11.87815724,17.58875272,12.38543319,6.341780776,4.538590284
52,0.112598245,0.222631506,0.193196683,0.043805042,0.200069418,0.348354391,0.397418947,0.041291225,11.45436245,17.65668091,12.83234346,6.813428866,4.96476523
52.5,0.133616552,0.211645755,0.199965673,0.049290499,0.181771999,0.32752537,0.416570992,0.026844045,11.02722691,17.68871877,13.25288349,7.281490096,5.395036597
53,0.157564949,0.200206215,0.205948857,0.055460457,0.164234455,0.306625138,0.434145442,0.018256918,10.60318621,17.69937694,13.65947442,7.753303581,5.835214988
53.5,0.184193311,0.187944257,0.21084936,0.062091948,0.147405587,0.285681433,0.450028275,0.013945878,10.18776888,17.70132751,14.06366602,8.236475408,6.291490974
54,0.212729391,0.174622998,0.214260847,0.068880235,0.131271126,0.264716792,0.463850813,0.012777014,9.781890465,17.69762926,14.46905329,8.734138371,6.76666719
54.5,0.241863071,0.16021606,0.215765019,0.075466327,0.115869662,0.243785586,0.475074398,0.014225405,9.382746869,17.68212806,14.87062376,9.243737176,7.258969546
55,0.269939881,0.14497805,0.215098141,0.08150699,0.10132763,0.223066315,0.483249156,0.018287134,8.987802021,17.64638462,15.25982716,9.75942671,7.763645309
55.5,0.295273287,0.129425414,0.212265404,0.086748775,0.087850712,0.202886797,0.488223977,0.025187698,8.597290745,17.58514072,15.62909988,10.27459245,8.274778961
56,0.316425448,0.11421312,0.207527221,0.091064958,0.075657341,0.183637387,0.49014686,0.035046736,8.213038619,17.49552378,15.97156747,10.78175718,8.785245332
56.5,0.332402608,0.099980179,0.201305227,0.094454906,0.064901794,0.165647615,0.489336169,0.047666462,7.835944556,17.3735883,16.27873504,11.2715136,9.28606557
57,0.342820261,0.087246218,0.19410886,0.09703527,0.055638707,0.149124851,0.486219183,0.062525825,7.465654932,17.21506544,16.54205865,11.73423146,9.768091158
57.5,0.348047549,0.07637592,0.18650836,0.099034418,0.047834194,0.134169358,0.481383978,0.078946621,7.102728291,17.02095434,16.75909886,12.16501471,10.22628258
58,0.349212947,0.067577227,0.179092358,0.100765402,0.041393481,0.120805483,0.475588738,0.096309076,6.750227539,16.8012993,16.9377868,12.5672954,10.66280444
58.5,0.347965096,0.060908697,0.172364631,0.10255685,0.036181065,0.108981223,0.469589955,0.114184159,6.412402204,16.57137294,17.0928779,12.95060791,11.08512866
59,0.346070992,0.056299867,0.16662483,0.104664479,0.032034345,0.098552913,0.463871332,0.13233284,6.091675422,16.34300508,17.23693242,13.32386882,11.50031852
59.5,0.345074253,0.053593069,0.161919917,0.107213876,0.028782368,0.089300125,0.458498188,0.150628216,5.787115366,16.11915501,17.3741038,13.69035614,11.91069449
60,0.346158119,0.05259863,0.15809714,0.110201451,0.026270639,0.080981624,0.453211103,0.168987855,5.495703888,15.89601913,17.5015808,14.04832655,12.31434139
60.5,0.350159578,0.05314216,0.154904594,0.113531857,0.024380762,0.073397817,0.447643793,0.187344399,5.214678812,15.66878921,17.61517305,14.39491984,12.70847537
61,0.357584403,0.055085873,0.152064512,0.117049913,0.023034161,0.066419618,0.441467798,0.205619966,4.942566925,15.43459247,17.71221903,14.72814066,13.09117868
61.5,0.368555433,0.058322535,0.149296652,0.12055252,0.02218115,0.059978605,0.434402957,0.223684827,4.678565852,15.1911296,17.79009698,15.04557056,13.46025292
62,0.382764145,0.062757266,0.14632883,0.12380503,0.021786268,0.054043928,0.42620515,0.241340271,4.42186427,14.93537511,17.84503523,15.34348042,13.81247318
62.5,0.399518827,0.068294053,0.142930143,0.126584268,0.02181904,0.048608459,0.416731781,0.258369597,4.172073425,14.66579092,17.8750687,15.61963347,14.1460989
63,0.417871391,0.074828076,0.138951872,0.128728519,0.022249931,0.043682961,0.406035481,0.274622892,3.930081385,14.38584937,17.88453561,15.8774336,14.46458081
63.5,0.436707004,0.082227815,0.134331971,0.130149815,0.023045569,0.039286002,0.394355122,0.290042169,3.697935569,14.10390791,17.88402331,16.12605898,14.77664698
